AREACD,AREANM,SPD V1.0 & Census 2011,SPD V2.0 & Census 2011,SPD V1.0 & Official Estimates 2015,SPD V2.0 & Official Estimates 2015
E06000001,Hartlepool,0.69630984,0.8536532,1.0725136,1.43145968
E06000002,Middlesbrough,2.85235384,2.94194144,3.48249936,3.88562744
E06000003,Redcar and Cleveland,1.8902624,1.78018448,1.84986136,1.97346144
E06000004,Stockton-on-Tees,-1.22791088,-0.80079328,-0.51990984,-0.11457728
E06000005,Darlington,-0.61005648,-0.09472928,0.81981992,1.3079164
E06000006,Halton,0.90595328,1.23487032,1.52819928,1.9290592
E06000007,Warrington,0.01819728,0.70692488,0.41715016,1.03690504
E06000008,Blackburn with Darwen,1.12713488,1.4498708,3.3106792,3.65607504
E06000009,Blackpool,4.66321752,4.66997504,5.40429008,5.55789592
E06000010,"Kingston upon Hull, City of",0.32198936,0.40498272,1.0983996,1.45330992
E06000011,East Riding of Yorkshire,-0.46681568,0.0904904,-0.49684424,-0.06819432
E06000012,North East Lincolnshire,-0.2721532,-0.12630312,0.39656576,0.61465184
E06000013,North Lincolnshire,-1.94689632,-1.56086144,-1.29831584,-0.99163824
E06000014,York,-0.85594112,-0.35586792,-1.88730328,-1.34354336
E06000015,Derby,0.02830128,0.46761432,1.30233512,1.82654152
E06000016,Leicester,0.84623104,1.12927824,2.36735576,2.9190928
E06000017,Rutland,-4.3094544,-3.84061656,-4.23697632,-3.046838
E06000018,Nottingham,-1.027218,-0.86835904,-0.73075968,-0.10486016
E06000019,"Herefordshire, County of",-1.90585192,-1.30152552,-2.34599864,-1.78033904
E06000020,Telford and Wrekin,-0.8103648,-0.47911376,0.556208,1.05679512
E06000021,Stoke-on-Trent,0.97635416,1.1729744,2.37315616,2.72221512
E06000022,Bath and North East Somerset,0.91946184,1.08171984,0.11121088,0.55259256
E06000023,"Bristol, City of",-0.2611656,0.14739608,0.02706264,0.96036752
E06000024,North Somerset,1.24206432,1.9300376,0.68665928,1.2517624
E06000025,South Gloucestershire,-0.27370256,0.48073008,-1.04769152,-0.34340512
E06000026,Plymouth,2.5627184,2.52558664,0.66506288,0.95648464
E06000027,Torbay,2.84730336,3.03117768,1.80606272,2.20314456
E06000028,Bournemouth,-0.3235036,-0.05231864,-0.99570216,-0.32203008
E06000029,Poole,0.15279896,0.81221848,0.23536128,0.79480928
E06000030,Swindon,-0.43795064,0.26889024,0.62958184,1.35494568
E06000031,Peterborough,1.07345712,1.71953536,4.88339008,5.65336632
E06000032,Luton,-0.29212456,0.2724396,1.0842532,1.78696848
E06000033,Southend-on-Sea,-0.12207904,0.5597208,0.27397568,1.06187952
E06000034,Thurrock,-2.49681368,-1.34225296,-0.91534288,0.29058504
E06000035,Medway,-2.48828264,-1.93752016,-1.4099504,-0.83908392
E06000036,Bracknell Forest,-1.70734512,-0.46782384,-2.0776252,-1.0623456
E06000037,West Berkshire,-0.60537504,0.11805856,0.56505576,1.24035384
E06000038,Reading,0.94130944,1.7582756,3.722046,4.99916536
E06000039,Slough,-2.8643772,-1.76541496,0.67410488,1.92240656
E06000040,Windsor and Maidenhead,-1.75650248,-0.90592144,-0.93427576,0.10182248
E06000041,Wokingham,-0.11763184,0.92395392,0.10024376,0.84633656
E06000042,Milton Keynes,-1.383806,-0.2655724,1.01863528,2.0644708
E06000043,Brighton and Hove,-0.39594832,-0.19987632,-1.03394608,-0.45093176
E06000044,Portsmouth,-0.3659488,-0.19897,-0.98716456,-0.48810432
E06000045,Southampton,0.28469872,0.56230528,-0.3699652,0.2680164
E06000046,Isle of Wight,-0.95816008,-0.49238784,-0.24563288,-0.0527996
E06000047,County Durham,0.2302228,0.6088356,0.11576024,0.45395856
E06000057,Northumberland,-0.57640464,-0.23744728,-0.22152936,0.09896496
E06000049,Cheshire East,-0.56477912,0.03415048,0.44945016,1.01398008
E06000050,Cheshire West and Chester,1.3067644,1.73927816,2.24870256,2.9528296
E06000051,Shropshire,-3.50858624,-2.83775792,-2.84231488,-2.16455776
E06000052,Cornwall,0.76847784,1.23665864,-0.30418416,0.1603192
E06000053,Isles of Scilly,-1.81570584,-1.70676352,-4.47504304,-3.78657488
E06000054,Wiltshire,-1.41118216,-0.45216264,-1.08473072,-0.23452304
E06000055,Bedford,0.0441964,0.72593808,1.41520104,2.26210816
E06000056,Central Bedfordshire,-0.46953192,0.48274048,-1.57126072,-0.59119344
E07000004,Aylesbury Vale,-1.9593768,-0.95419128,-3.32367112,-2.27018608
E07000005,Chiltern,-0.36789552,0.4603012,-0.15992384,0.55338728
E07000006,South Bucks,-2.0003888,-0.2943156,-1.54861112,-0.26736112
E07000007,Wycombe,-1.16147376,-0.30481696,-0.79850936,0.01136184
E07000008,Cambridge,-2.03960696,-1.81549568,0.96557096,1.58341416
E07000009,East Cambridgeshire,-3.4732396,-2.58178432,-1.94717432,-1.34698648
E07000010,Fenland,-0.11925008,0.41317632,1.41573648,1.93443648
E07000011,Huntingdonshire,-2.6292564,-1.92887648,-1.12936224,-0.5660528
E07000012,South Cambridgeshire,-1.2369332,-0.04463712,-0.94519912,-0.0506172
E07000026,Allerdale,-0.1659372,0.17589344,-0.18704736,0.25408648
E07000027,Barrow-in-Furness,1.66862072,1.89673888,2.25016664,2.4539732
E07000028,Carlisle,-0.33555296,0.0587776,0.36392216,0.61245432
E07000029,Copeland,-1.27926576,-0.99825784,-1.04067656,-0.81324392
E07000030,Eden,-1.28605128,-0.8492504,-0.98772944,-0.60724816
E07000031,South Lakeland,-0.85666328,-0.24928128,-0.6456976,6.18E-03
E07000032,Amber Valley,-0.89543696,-0.40618432,-0.88982744,-0.47328504
E07000033,Bolsover,-0.47979328,-0.06116048,-0.26742096,0.15016712
E07000034,Chesterfield,-0.50410456,-0.22584496,-0.4329212,0.12106464
E07000035,Derbyshire Dales,-1.3611564,-0.69745208,-0.7781292,-0.33059248
E07000036,Erewash,-0.70877312,-0.18486632,-0.82717664,-0.3807528
E07000037,High Peak,-0.16987192,0.35470672,-0.30340128,0.28591416
E07000038,North East Derbyshire,-0.54048048,-0.19389432,-0.37093912,-0.18225792
E07000039,South Derbyshire,-2.4775132,-1.6716872,-2.68709912,-1.90416736
E07000040,East Devon,0.60215768,1.17894864,-0.38105992,0.2131156
E07000041,Exeter,0.27374696,0.66568736,-3.223678,-2.41430232
E07000042,Mid Devon,-0.58237944,0.10186496,-0.66809208,-0.24449752
E07000043,North Devon,1.65864176,2.14120232,1.2266916,1.57329144
E07000044,South Hams,1.54726968,2.03704592,0.62696816,1.11755656
